;Absolute path;Relative path;Class
0;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\3023.jpg;task3_dataset\3023.jpg;tiger
1;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\2225.jpg;task3_dataset\2225.jpg;tiger
2;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\6106.jpg;task3_dataset\6106.jpg;tiger
3;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\67.jpg;task3_dataset\67.jpg;tiger
4;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\571.jpg;task3_dataset\571.jpg;tiger
5;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\6217.jpg;task3_dataset\6217.jpg;tiger
6;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\2985.jpg;task3_dataset\2985.jpg;tiger
7;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\7582.jpg;task3_dataset\7582.jpg;tiger
8;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\5436.jpg;task3_dataset\5436.jpg;tiger
9;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\3686.jpg;task3_dataset\3686.jpg;tiger
10;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\3433.jpg;task3_dataset\3433.jpg;tiger
11;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\1798.jpg;task3_dataset\1798.jpg;tiger
12;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\5254.jpg;task3_dataset\5254.jpg;tiger
13;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\1896.jpg;task3_dataset\1896.jpg;tiger
14;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\6233.jpg;task3_dataset\6233.jpg;tiger
15;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\4285.jpg;task3_dataset\4285.jpg;tiger
16;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\4278.jpg;task3_dataset\4278.jpg;tiger
17;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\3414.jpg;task3_dataset\3414.jpg;tiger
18;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\8867.jpg;task3_dataset\8867.jpg;tiger
19;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\9883.jpg;task3_dataset\9883.jpg;tiger
20;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\6060.jpg;task3_dataset\6060.jpg;tiger
21;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\6043.jpg;task3_dataset\6043.jpg;tiger
22;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\2079.jpg;task3_dataset\2079.jpg;tiger
23;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\1665.jpg;task3_dataset\1665.jpg;tiger
24;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\5020.jpg;task3_dataset\5020.jpg;tiger
25;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\6335.jpg;task3_dataset\6335.jpg;tiger
26;C:\Users\kiril\Desktop\application_programming\Lab_2_AP\task3_dataset\2917.jpg;task3_dataset\2917.jpg;tiger
